path,family,config,config_label,run_id,workers,reuse,tool,corpus,total_files,total_wall_time_sec,files_per_minute,mean_wall_time_sec_per_file,median_wall_time_sec_per_file,mean_startup_sec_per_file,median_startup_sec_per_file,mean_step_elapsed_sec,median_step_elapsed_sec,mean_api_execution_time_sec_per_file,median_api_execution_time_sec_per_file,mean_client_overhead_sec_per_file,median_client_overhead_sec_per_file,p95_step_elapsed_sec,p95_wall_time_sec_per_file,api_wall_ratio_mean
bigstep_local_build\isabelle_build_bigstep_results_run_1.json,bigstep,bigstep_local_build,Local isabelle build,1.0,,,isabelle-build,HOL_corpus/HOL-Analysis/processed,93,1281.4953842110008,4.354288020659184,13.773957144268778,12.603262275999441,,,,,,,,,,24.560785338799896,
bigstep_local_build\isabelle_build_bigstep_results_run_2.json,bigstep,bigstep_local_build,Local isabelle build,2.0,,,isabelle-build,HOL_corpus/HOL-Analysis/processed,93,1263.9721636229988,4.414654183527043,13.58657208221498,12.557646518002002,,,,,,,,,,23.997538469399657,
bigstep_local_build\isabelle_build_bigstep_results_run_3.json,bigstep,bigstep_local_build,Local isabelle build,3.0,,,isabelle-build,HOL_corpus/HOL-Analysis/processed,93,1270.1031840939977,4.393343839997047,13.650234950795669,12.392851728000096,,,,,,,,,,23.960389605798987,
bigstep_local_build\isabelle_build_bigstep_results_run_4.json,bigstep,bigstep_local_build,Local isabelle build,4.0,,,isabelle-build,HOL_corpus/HOL-Analysis/processed,93,1217.8864158470024,4.581708053718033,13.082401593322556,11.98329262000334,,,,,,,,,,22.520238847801366,
bigstep_local_build\isabelle_build_bigstep_results_run_5.json,bigstep,bigstep_local_build,Local isabelle build,5.0,,,isabelle-build,HOL_corpus/HOL-Analysis/processed,93,1239.423596675002,4.502092759061107,13.315085286236412,12.167188102001091,,,,,,,,,,22.484744580598633,
bigstep_server_build\server_build_bigstep_results_run_1.json,bigstep,bigstep_server_build,Server big-step,1.0,,,isabellegym-server-bigstep,HOL_corpus\HOL-Analysis\processed,93,1288.6064599999227,4.330259216611668,13.855455065595477,12.59460539999418,,,,,13.849016517580528,12.589630506998219,0.006438548014948635,0.005880087999685202,,23.215802059997802,0.9995131882529263
bigstep_server_build\server_build_bigstep_results_run_2.json,bigstep,bigstep_server_build,Server big-step,2.0,,,isabellegym-server-bigstep,HOL_corpus\HOL-Analysis\processed,93,1383.0127445,4.034669978415373,14.85988552795699,13.504787400000055,,,,,14.852332358591402,13.499695438999993,0.007553169365588358,0.005854372999920088,,24.830860399999963,0.9994891505836411
bigstep_server_build\server_build_bigstep_results_run_3.json,bigstep,bigstep_server_build,Server big-step,3.0,,,isabellegym-server-bigstep,HOL_corpus\HOL-Analysis\processed,93,1398.0831778000002,3.9911788430074617,15.029408587096816,13.745807799999966,,,,,15.02238017923658,13.741003203000218,0.007028407860235025,0.005770312999629823,,26.006256060000023,0.9994960621469422
bigstep_server_build\server_build_bigstep_results_run_4.json,bigstep,bigstep_server_build,Server big-step,4.0,,,isabellegym-server-bigstep,HOL_corpus\HOL-Analysis\processed,93,1291.8150974999999,4.319503627724091,13.889961709677396,12.68981870000016,,,,,13.883743656526915,12.6854096080001,0.006218053150478814,0.005214487000102963,,23.20755082000032,0.9995403147792705
bigstep_server_build\server_build_bigstep_results_run_5.json,bigstep,bigstep_server_build,Server big-step,5.0,,,isabellegym-server-bigstep,HOL_corpus\HOL-Analysis\processed,93,1283.3034527,4.34815318875671,13.798501702150524,12.24930889999996,,,,,13.792049512344166,12.244182790000195,0.006452189806359163,0.005064805999609234,,23.40044852000009,0.9994872914640478
bigstep_server_build\server_build_bigstep_results_run_examples.json,bigstep,bigstep_server_build,Server big-step,,,,isabellegym-server-bigstep,HOL_corpus\Examples\raw,18,34.935835600001155,30.913816184776305,1.9405906388888576,0.04795690000173636,,,,,1.9114997592219476,0.0,0.02909087966691004,0.043566300002567004,,6.085365389993966,0.4412085535445201
smallstep_local_gym\local_isabellegym_smallstep_results_run_1.json,smallstep,smallstep_local_gym,Local IsabelleGym,1.0,,,local-isabellegym,HOL_corpus/Examples/processed,16,449.570000259002,2.13537380040246,28.083558616875507,18.05785311550062,10.724748035813718,7.50331576499957,0.1296986177604169,0.10185543400075403,,,,,0.16974618255080315,,
